"Dataset that combines stations from the National Soil Moistuer Network, National Ecological Observatory Network, AmeriFlux Network, and the INternational Soil Moisture Network for the USA.",,,,
station,network,latitude,longitude,source
Haskell,Kansas Mesonet,37.659,-101.027,NSMN
Hays,Kansas Mesonet,38.849,-99.345,NSMN
Haysville,Kansas Mesonet,37.52,-97.312,NSMN
Hiawatha,Kansas Mesonet,39.842,-95.482,NSMN
Hill_City,Kansas Mesonet,39.372,-99.831,NSMN
Hodgeman,Kansas Mesonet,38.101,-99.902,NSMN
Hutchinson,Kansas Mesonet,37.931,-98.027,NSMN
Hutchinson_10SW,Kansas Mesonet,37.931,-98.02,NSMN
Jewell,Kansas Mesonet,39.683,-98.213,NSMN
La_Crosse,Kansas Mesonet,38.541,-99.281,NSMN
Lake_City,Kansas Mesonet,37.309,-98.794,NSMN
Lakin,Kansas Mesonet,37.894,-101.233,NSMN
Lane,Kansas Mesonet,38.599,-100.471,NSMN
Leoti,Kansas Mesonet,38.483,-101.328,NSMN
Lewis,Kansas Mesonet,37.936,-99.253,NSMN
Lorraine,Kansas Mesonet,38.558,-98.352,NSMN
Macksville,Kansas Mesonet,37.959,-98.969,NSMN
Manhattan,Kansas Mesonet,39.209,-96.592,NSMN
McPherson,Kansas Mesonet,38.364,-97.7,NSMN
McPherson_1S,Kansas Mesonet,38.345,-97.663,NSMN
Meade,Kansas Mesonet,37.135,-100.396,NSMN
Miami,Kansas Mesonet,38.592,-94.848,NSMN
Mitchell,Kansas Mesonet,39.437,-98.21,NSMN
Mobile_Station,Kansas Mesonet,37.773,-100.953,NSMN
Ness_City,Kansas Mesonet,38.386,-99.856,NSMN
North_Reno,Kansas Mesonet,38.122,-98.009,NSMN
Olathe,Kansas Mesonet,38.883,-94.991,NSMN
Osage,Kansas Mesonet,38.697,-95.609,NSMN
Osborne,Kansas Mesonet,39.454,-98.703,NSMN
Ottawa_2SE,Kansas Mesonet,38.543,-95.249,NSMN
Overbrook,Kansas Mesonet,38.717,-95.516,NSMN
Parsons,Kansas Mesonet,37.369,-95.288,NSMN
Radium,Kansas Mesonet,38.174,-98.893,NSMN
Richfield,Kansas Mesonet,37.259,-101.792,NSMN
Rock_Springs,Kansas Mesonet,38.867,-96.903,NSMN
Rocky_Ford,Kansas Mesonet,39.232,-96.58,NSMN
Rossville,Kansas Mesonet,39.116,-95.926,NSMN
Rozel,Kansas Mesonet,38.196,-99.403,NSMN
Satanta,Kansas Mesonet,37.305,-100.887,NSMN
Scandia,Kansas Mesonet,39.829,-97.839,NSMN
Sedan,Kansas Mesonet,37.165,-96.228,NSMN
Sedgwick,Kansas Mesonet,37.89,-97.632,NSMN
Sheridan,Kansas Mesonet,39.357,-100.61,NSMN
Sherman,Kansas Mesonet,39.281,-101.819,NSMN
Silver_Lake,Kansas Mesonet,39.078,-95.771,NSMN
South_Reno,Kansas Mesonet,37.799,-98.005,NSMN
Spearville,Kansas Mesonet,37.902,-99.87,NSMN
St_John,Kansas Mesonet,37.957,-98.748,NSMN
Stafford,Kansas Mesonet,37.962,-98.601,NSMN
Stanton,Kansas Mesonet,37.614,-101.728,NSMN
Sterling,Kansas Mesonet,38.21,-98.207,NSMN
Stevens,Kansas Mesonet,37.352,-101.355,NSMN
Tribune,Kansas Mesonet,38.466,-101.775,NSMN
Tribune_6NE,Kansas Mesonet,38.53,-101.664,NSMN
Viola,Kansas Mesonet,37.46,-97.625,NSMN
Wallace,Kansas Mesonet,38.82,-101.853,NSMN
Washington,Kansas Mesonet,39.782,-97.055,NSMN
Woodson,Kansas Mesonet,37.861,-95.784,NSMN
Columbia,Kentucky Mesonet,37.14,-85.29,NSMN
Scottsville,Kentucky Mesonet,36.74,-86.22,NSMN
Glasgow,Kentucky Mesonet,37.01,-86.11,NSMN
Danville,Kentucky Mesonet,37.62,-84.82,NSMN
Jackson,Kentucky Mesonet,37.54,-83.34,NSMN
Morgantown,Kentucky Mesonet,37.18,-86.65,NSMN
Princeton,Kentucky Mesonet,37.1,-87.86,NSMN
Carrollton,Kentucky Mesonet,38.69,-85.14,NSMN
Hopkinsville,Kentucky Mesonet,36.95,-87.52,NSMN
Lexington,Kentucky Mesonet,37.97,-84.53,NSMN
Frankfort,Kentucky Mesonet,38.12,-84.88,NSMN
Hickman,Kentucky Mesonet,36.57,-89.16,NSMN
Elizabethtown,Kentucky Mesonet,37.68,-85.98,NSMN
Harlan,Kentucky Mesonet,36.92,-82.91,NSMN
Hodgenville,Kentucky Mesonet,37.57,-85.7,NSMN
Richmond,Kentucky Mesonet,37.72,-84.15,NSMN
Benton,Kentucky Mesonet,36.92,-88.34,NSMN
Calhoun,Kentucky Mesonet,37.59,-87.32,NSMN
Shelbyville9NNE,Kentucky Mesonet,38.33,-85.17,NSMN
Shelbyville10W,Kentucky Mesonet,38.16,-85.38,NSMN
Franklin,Kentucky Mesonet,36.67,-86.61,NSMN
Morganfield,Kentucky Mesonet,37.69,-87.84,NSMN
Bowling_Green,Kentucky Mesonet,36.93,-86.47,NSMN
Albany,Missouri Mesonet,40.24,-94.34,NSMN
Columbia-Capen_Park,Missouri Mesonet,38.93,-92.32,NSMN
Portageville,Missouri Mesonet,36.41,-89.7,NSMN
Versailles,Missouri Mesonet,38.43,-92.85,NSMN
Fort Keogh ARS N,Montana Mesonet,46.41,-105.95,NSMN
Fort Keogh ARS SE,Montana Mesonet,46.35,-105.83,NSMN
Fort Keogh ARS SW,Montana Mesonet,46.3,-105.98,NSMN
Benton Lake W,Montana Mesonet,47.69,-111.47,NSMN
Argenta BLM,Montana Mesonet,45.25,-112.88,NSMN
Virginia City BLM,Montana Mesonet,45.27,-111.88,NSMN
McCartney Mtn BLM,Montana Mesonet,45.55,-112.6,NSMN
Kidd BLM,Montana Mesonet,44.81,-112.72,NSMN
Battle Creek BLM,Montana Mesonet,45.07,-103.78,NSMN
Belfry E BLM,Montana Mesonet,45.18,-108.9,NSMN
Broadus BLM,Montana Mesonet,45.44,-105.36,NSMN
Capitol BLM,Montana Mesonet,45.32,-104.14,NSMN
Glendive BLM,Montana Mesonet,46.92,-104.75,NSMN
Vandalia N BLM,Montana Mesonet,48.51,-106.91,NSMN
Harding Cutoff BLM,Montana Mesonet,45.17,-103.73,NSMN
Cherry Ridge BLM,Montana Mesonet,48.87,-109.05,NSMN
Zortman E BLM,Montana Mesonet,47.89,-108.32,NSMN
Plevna BLM,Montana Mesonet,46.44,-104.43,NSMN
Pumpkin Ck BLM,Montana Mesonet,46.2,-105.7,NSMN
Roundup NW BLM,Montana Mesonet,46.58,-108.74,NSMN
Terry BLM,Montana Mesonet,46.84,-105.26,NSMN
Warren E BLM,Montana Mesonet,45.04,-108.44,NSMN
Churchill,Montana Mesonet,45.73,-111.37,NSMN
Conrad ARC,Montana Mesonet,48.31,-111.93,NSMN
Corvallis ARC,Montana Mesonet,46.33,-114.09,NSMN
Crow Agency E,Montana Mesonet,45.59,-107.44,NSMN
Clearwater SW,Montana Mesonet,46.96,-113.37,NSMN
Fort Benton E,Montana Mesonet,47.79,-110.48,NSMN
Havre ARC,Montana Mesonet,48.49,-109.8,NSMN
Huntley ARC,Montana Mesonet,45.92,-108.23,NSMN
Kalispell ARC,Montana Mesonet,48.19,-114.14,NSMN
Lolo W MBMG,Montana Mesonet,46.75,-114.13,NSMN
Loma S,Montana Mesonet,47.89,-110.53,NSMN
Lubrecht Forest,Montana Mesonet,46.89,-113.44,NSMN
Butte MBMG MT Tech,Montana Mesonet,46.01,-112.56,NSMN
Chinook E MDA,Montana Mesonet,48.58,-109.16,NSMN
Hogeland SE MDA,Montana Mesonet,48.77,-108.56,NSMN
Mocassin ARC,Montana Mesonet,47.06,-109.95,NSMN
Molt W,Montana Mesonet,45.82,-109.09,NSMN
Hot Springs NE-L,Montana Mesonet,47.7,-114.51,NSMN
Hot Springs NE-U,Montana Mesonet,47.72,-114.54,NSMN
Rapleje N,Montana Mesonet,46.04,-109.24,NSMN
Reed Point NE,Montana Mesonet,45.8,-109.43,NSMN
Ingomar NE,Montana Mesonet,46.66,-107.22,NSMN
Sidney ARC,Montana Mesonet,47.78,-104.25,NSMN
Coffee Creek N,Montana Mesonet,47.39,-110.13,NSMN
MacDonald Pass USFS,Montana Mesonet,46.56,-112.31,NSMN
Whitefish N,Montana Mesonet,48.48,-114.44,NSMN
Roundup NE,Montana Mesonet,46.58,-108.42,NSMN
Absarokee W,Montana Mesonet,45.56,-109.61,NSMN
Cooney Reservoir W,Montana Mesonet,45.47,-109.26,NSMN
Broadview E,Montana Mesonet,46.13,-108.76,NSMN
Reed Point S,Montana Mesonet,45.61,-109.56,NSMN
Twin Bridges S MDA,Montana Mesonet,45.47,-112.36,NSMN
Power S,Montana Mesonet,47.66,-111.71,NSMN
Edgar E MDA,Montana Mesonet,45.46,-108.86,NSMN
Choteau NE,Montana Mesonet,47.89,-112.09,NSMN
Benchland NE,Montana Mesonet,47.09,-109.97,NSMN
Toston SW MDA,Montana Mesonet,46.12,-111.53,NSMN
Oilmont E MDA,Montana Mesonet,48.78,-111.6,NSMN
Melville SE,Montana Mesonet,46,-109.84,NSMN
Big Timber SE,Montana Mesonet,45.74,-109.83,NSMN
Roy BLM,Montana Mesonet,47.49,-108.95,NSMN
Ledger N MDA,Montana Mesonet,48.34,-111.82,NSMN
Miles City S MDA,Montana Mesonet,46.22,-105.76,NSMN
Hardin N MDA,Montana Mesonet,45.87,-107.6,NSMN
Cascade E MDA,Montana Mesonet,47.28,-111.62,NSMN
Charlo Heights MDA,Montana Mesonet,46.16,-114.17,NSMN
Gildford N MDA,Montana Mesonet,48.7,-110.28,NSMN
Malta W MDA,Montana Mesonet,48.35,-108,NSMN
Dillon NE MDA,Montana Mesonet,45.25,-112.59,NSMN
Manhattan S MDA,Montana Mesonet,45.79,-111.32,NSMN
Glasgow MDA W,Montana Mesonet,48.23,-106.72,NSMN
Scobey N MDA,Montana Mesonet,48.88,-105.44,NSMN
Wood_River_5SE,Nebraska Mesonet,40.45,-98.32,NSMN
Kearney_5E,Nebraska Mesonet,40.4,-98.59,NSMN
Alda_3W,Nebraska Mesonet,40.53,-98.31,NSMN
Shelton_2SW,Nebraska Mesonet,40.44,-98.46,NSMN
Scottsbluff_6NW,Nebraska Mesonet,41.57,-103.42,NSMN
Scottsbluff_2NW,Nebraska Mesonet,41.53,-103.41,NSMN
Elgin_6W,Nebraska Mesonet,41.56,-98.12,NSMN
Angora_13N,Nebraska Mesonet,42.02,-103.09,NSMN
Sparks_5NE,Nebraska Mesonet,42.59,-100.12,NSMN
Duncan_2W,Nebraska Mesonet,41.23,-97.31,NSMN
Fordyce_4N,Nebraska Mesonet,42.45,-97.21,NSMN
Grant_1E,Nebraska Mesonet,40.5,-101.42,NSMN
Mullen_30N,Nebraska Mesonet,42.27,-100.54,NSMN
Sidney_2NW,Nebraska Mesonet,41.13,-103.01,NSMN
Dunning_6NW,Nebraska Mesonet,41.54,-100.1,NSMN
Merna_2SW,Nebraska Mesonet,41.27,-99.47,NSMN
West_Point_2W,Nebraska Mesonet,41.51,-96.45,NSMN
Champion_5SE,Nebraska Mesonet,40.24,-101.43,NSMN
York_2W,Nebraska Mesonet,40.52,-97.38,NSMN
Axtell_5NE,Nebraska Mesonet,40.32,-99.03,NSMN
Curtis_1N,Nebraska Mesonet,40.37,-100.3,NSMN
Dickens_9N,Nebraska Mesonet,40.57,-100.59,NSMN
Gothenburg_2NW,Nebraska Mesonet,40.57,-100.12,NSMN
Plymouth_4E,Nebraska Mesonet,40.18,-96.56,NSMN
Ragan_5W,Nebraska Mesonet,40.2,-99.22,NSMN
Holdrege_5N,Nebraska Mesonet,40.3,-99.22,NSMN
Smithfield_2E,Nebraska Mesonet,40.34,-99.41,NSMN
Hayes_Center_3N,Nebraska Mesonet,40.33,-101.02,NSMN
Naper_12SW,Nebraska Mesonet,42.5,-99.15,NSMN
Emmet_3E,Nebraska Mesonet,42.28,-98.45,NSMN
Whitman_5NE,Nebraska Mesonet,42.05,-101.27,NSMN
Ord_2N,Nebraska Mesonet,41.37,-98.57,NSMN
Firth_3N,Nebraska Mesonet,40.34,-96.37,NSMN
Walton_5NW,Nebraska Mesonet,40.51,-96.36,NSMN
Lincoln_1700_N_10th,Nebraska Mesonet,40.5,-96.42,NSMN
Lincoln_5700_S_27th,Nebraska Mesonet,40.45,-96.41,NSMN
Lincoln_1500_N_45th,Nebraska Mesonet,40.49,-96.39,NSMN
Kearney_3E,Nebraska Mesonet,40.43,-99.01,NSMN
Arthur_8S,Nebraska Mesonet,41.27,-101.43,NSMN
Big_Springs_8NE,Nebraska Mesonet,41.09,-101.6,NSMN
Brule_6SW,Nebraska Mesonet,41.01,-101.58,NSMN
Keystone_3W_Beta,Nebraska Mesonet,41.12,-101.39,NSMN
North_Platte_3SW_Beta,Nebraska Mesonet,41.09,-100.77,NSMN
Central_City_3W,Nebraska Mesonet,41.06,-98.03,NSMN
Guide_Rock_3E,Nebraska Mesonet,40.05,-98.17,NSMN
Harvard_4SW,Nebraska Mesonet,40.34,-98.08,NSMN
Cozad_8N,Nebraska Mesonet,40.58,-99.57,NSMN
Lexington_4S,Nebraska Mesonet,40.43,-99.45,NSMN
McCook_4NE,Nebraska Mesonet,40.14,-100.34,NSMN
Ainsworth_2NE,Nebraska Mesonet,42.34,-99.5,NSMN
Long_Pine_20S,Nebraska Mesonet,42.14,-99.4,NSMN
Memphis_5N,Nebraska Mesonet,41.09,-96.25,NSMN
Ithaca_3E,Nebraska Mesonet,41.09,-96.29,NSMN
Alliance_6NW,Nebraska Mesonet,42.11,-102.55,NSMN
Gordon_4SE,Nebraska Mesonet,42.45,-102.11,NSMN
Harrison_4NW,Nebraska Mesonet,42.44,-103.55,NSMN
Concord_2E,Nebraska Mesonet,42.24,-96.58,NSMN
Oakland_4W,Nebraska Mesonet,41.5,-96.32,NSMN
Wausa_2SW,Nebraska Mesonet,42.27,-97.33,NSMN
Abby Road NEON,NEON,45.76244,-122.33032,NEON
Bartlett Experimental Forest NEON,NEON,44.06389,-71.28737,NEON
Blandy Experimental Farm NEON,NEON,39.0337,-78.04179,NEON
Caribou-Poker Creeks Research Watershed NEON,NEON,65.15401,-147.50258,NEON
Central Plains Experimental Range NEON,NEON,40.81554,-104.74559,NEON
Chase Lake National Wildlife Refuge NEON,NEON,47.1282,-99.24133,NEON
Dakota Coteau Field  NEON,NEON,47.16165,-99.10656,NEON
Dead Lake NEON,NEON,32.54173,-87.80388,NEON
Delta Junction NEON,NEON,63.88112,-145.75136,NEON
Disney Wilderness Preserve NEON,NEON,28.12505,-81.43619,NEON
Great Smoky Mountains National Park NEON,NEON,35.68896,-83.50195,NEON
Guanica Forest NEON,NEON,17.96955,-66.8687,NEON
Harvard Forest & Quabbin Watershed NEON,NEON,42.53691,-72.17265,NEON
Healy NEON,NEON,63.8758,-149.21335,NEON
Jornada Experimental Range NEON,NEON,32.59069,-106.84254,NEON
KU Field Station NEON,NEON,39.04043,-95.19215,NEON
Konza Prairie Agroecosystem NEON,NEON,39.11045,-96.61293,NEON
Konza Prairie Biological Station NEON,NEON,39.10077,-96.56307,NEON
Lajas Experimental Station NEON,NEON,18.02126,-67.07689,NEON
Lenoir Landing NEON,NEON,31.85386,-88.16118,NEON
Lower Teakettle NEON,NEON,37.00583,-119.00602,NEON
Lyndon B. Johnson National Grassland NEON,NEON,33.40123,-97.57,NEON
Marvin Klemme Range Research Station NEON,NEON,35.4106,-99.05878,NEON
Moab NEON,NEON,38.24828,-109.38827,NEON
Mountain Lake Biological Station NEON,NEON,37.37831,-80.52485,NEON
Niwot Ridge NEON,NEON,40.05425,-105.58237,NEON
North Sterling NEON,NEON,40.46189,-103.02929,NEON
Northern Great Plains Research Laboratory NEON,NEON,46.76972,-100.91535,NEON
Oak Ridge NEON,NEON,35.96413,-84.28259,NEON
Onaqui NEON,NEON,40.1776,-112.45245,NEON
Ordway-Swisher Biological Station NEON,NEON,29.68928,-81.99343,NEON
Puu Makaala Natural Area Reserve NEON,NEON,19.55309,-155.31731,NEON
Rocky Mountains NEON,NEON,40.2759,-105.54596,NEON
San Joaquin Experimental Range NEON,NEON,37.10878,-119.73228,NEON
Santa Rita Experimental Range NEON,NEON,31.91068,-110.83549,NEON
Smithsonian Conservation Biology Institute NEON,NEON,38.89292,-78.13949,NEON
Smithsonian Environmental Research Center NEON,NEON,38.89013,-76.56001,NEON
Soaproot Saddle NEON,NEON,37.03337,-119.26219,NEON
Steigerwaldt-Chequamegon NEON,NEON,45.50894,-89.58637,NEON
Talladega National Forest NEON,NEON,32.95047,-87.39326,NEON
The Jones Center At Ichauway NEON,NEON,31.19484,-84.46862,NEON
Toolik Field Station NEON,NEON,68.66109,-149.37047,NEON
Treehaven NEON,NEON,45.49369,-89.58571,NEON
University of Notre Dame Environmental Research Center NEON,NEON,46.23391,-89.53725,NEON
Utqiaġvik NEON,NEON,71.28241,-156.61936,NEON
Wind River Experimental Forest NEON,NEON,45.82049,-121.95191,NEON
Yellowstone National Park NEON,NEON,44.95348,-110.53914,NEON
New Brunswick,New Jersey WN,40.472807,-74.422569,NSMN
Moorestown,New Jersey WN,39.983344,-74.895686,NSMN
Pittstown,New Jersey WN,40.561216,-74.961024,NSMN
Cream Ridge,New Jersey WN,40.118553,-74.525634,NSMN
Charlotteburg,New Jersey WN,41.029856,-74.424842,NSMN
Hammonton,New Jersey WN,39.635323,-74.758399,NSMN
Hopewell Twp.,New Jersey WN,40.35234,-74.775028,NSMN
Woodbine,New Jersey WN,39.218389,-74.794427,NSMN
Upper Deerfield,New Jersey WN,39.524351,-75.200927,NSMN
Addison,New York State Mesonet,42.04,-77.237,NSMN
Andes,New York State Mesonet,42.182,-74.801,NSMN
Ballston_Spa,New York State Mesonet,43.023,-73.875,NSMN
Batavia,New York State Mesonet,43.02,-78.136,NSMN
Beacon,New York State Mesonet,41.529,-73.945,NSMN
Belden,New York State Mesonet,42.223,-75.669,NSMN
Belleville,New York State Mesonet,43.79,-76.114,NSMN
Belmont,New York State Mesonet,42.242,-78.04,NSMN
Berkshire,New York State Mesonet,42.32,-76.203,NSMN
Binghamton,New York State Mesonet,42.058,-75.951,NSMN
Brant,New York State Mesonet,42.595,-79.022,NSMN
Brewster,New York State Mesonet,41.44,-73.577,NSMN
Brockport,New York State Mesonet,43.208,-77.966,NSMN
Bronx,New York State Mesonet,40.872,-73.894,NSMN
Brookfield,New York State Mesonet,42.796,-75.299,NSMN
Brooklyn,New York State Mesonet,40.632,-73.954,NSMN
Buffalo,New York State Mesonet,43,-78.767,NSMN
Burdett,New York State Mesonet,42.41,-76.772,NSMN
Burt,New York State Mesonet,43.317,-78.749,NSMN
Camden,New York State Mesonet,43.34,-75.743,NSMN
Cape_Vincent,New York State Mesonet,44.105,-76.327,NSMN
Central_Square,New York State Mesonet,43.326,-76.104,NSMN
Chazy,New York State Mesonet,44.896,-73.465,NSMN
Chestertown,New York State Mesonet,43.654,-73.777,NSMN
Cincinnatus,New York State Mesonet,42.522,-75.976,NSMN
Claryville,New York State Mesonet,41.979,-74.517,NSMN
Clifton_Springs,New York State Mesonet,43.015,-77.185,NSMN
Clymer,New York State Mesonet,42.024,-79.624,NSMN
Cobleskill,New York State Mesonet,42.676,-74.508,NSMN
Cohocton,New York State Mesonet,42.512,-77.438,NSMN
Cold_Brook,New York State Mesonet,43.261,-74.979,NSMN
Copake,New York State Mesonet,42.137,-73.52,NSMN
Copenhagen,New York State Mesonet,43.921,-75.608,NSMN
Croghan,New York State Mesonet,43.975,-75.201,NSMN
Delevan,New York State Mesonet,42.418,-78.423,NSMN
Deposit,New York State Mesonet,42.069,-75.392,NSMN
Dover_Plains,New York State Mesonet,41.774,-73.575,NSMN
Duanesburg,New York State Mesonet,42.803,-74.174,NSMN
East_Aurora,New York State Mesonet,42.713,-78.632,NSMN
Edinburg,New York State Mesonet,43.228,-74.113,NSMN
Edwards,New York State Mesonet,44.322,-75.244,NSMN
Eldred,New York State Mesonet,41.54,-74.88,NSMN
Ellenburg,New York State Mesonet,44.896,-73.845,NSMN
Elmira,New York State Mesonet,42.113,-76.837,NSMN
Essex,New York State Mesonet,44.314,-73.372,NSMN
Fayetteville,New York State Mesonet,43.054,-75.99,NSMN
Fredonia,New York State Mesonet,42.418,-79.367,NSMN
Gabriels,New York State Mesonet,44.417,-74.179,NSMN
Glenfield,New York State Mesonet,43.717,-75.409,NSMN
Glens_Falls,New York State Mesonet,43.341,-73.602,NSMN
Groton,New York State Mesonet,42.549,-76.375,NSMN
Grove,New York State Mesonet,42.49,-77.949,NSMN
Hammond,New York State Mesonet,44.513,-75.617,NSMN
Harpersfield,New York State Mesonet,42.473,-74.698,NSMN
Harrisburg,New York State Mesonet,43.804,-75.689,NSMN
Hartsville,New York State Mesonet,42.211,-77.69,NSMN
Herkimer,New York State Mesonet,43.037,-75.01,NSMN
High_Falls,New York State Mesonet,41.799,-74.123,NSMN
Indian_Lake,New York State Mesonet,43.791,-74.239,NSMN
Johnstown,New York State Mesonet,42.984,-74.302,NSMN
Jordan,New York State Mesonet,43.07,-76.47,NSMN
Kinderhook,New York State Mesonet,42.41,-73.716,NSMN
Laurens,New York State Mesonet,42.525,-75.137,NSMN
Louisville,New York State Mesonet,44.872,-75.056,NSMN
Malone,New York State Mesonet,44.853,-74.329,NSMN
Manhattan,New York State Mesonet,40.768,-73.964,NSMN
Medina,New York State Mesonet,43.227,-78.309,NSMN
Medusa,New York State Mesonet,42.469,-74.166,NSMN
Morrisville,New York State Mesonet,42.884,-75.642,NSMN
Newcomb,New York State Mesonet,43.973,-74.223,NSMN
North_Branch,New York State Mesonet,41.828,-74.997,NSMN
North_Hudson,New York State Mesonet,44.013,-73.705,NSMN
Old_Forge,New York State Mesonet,43.742,-74.978,NSMN
Olean,New York State Mesonet,42.091,-78.407,NSMN
Ontario,New York State Mesonet,43.259,-77.373,NSMN
Oppenheim,New York State Mesonet,43.063,-74.665,NSMN
Osceola,New York State Mesonet,43.499,-75.712,NSMN
Oswego,New York State Mesonet,43.443,-76.553,NSMN
Otisville,New York State Mesonet,41.482,-74.504,NSMN
Owego,New York State Mesonet,42.026,-76.255,NSMN
Penn_Yan,New York State Mesonet,42.656,-76.987,NSMN
Philadelphia,New York State Mesonet,44.194,-75.716,NSMN
Piseco,New York State Mesonet,43.465,-74.504,NSMN
Potsdam,New York State Mesonet,44.657,-74.974,NSMN
Queens,New York State Mesonet,40.734,-73.816,NSMN
Randolph,New York State Mesonet,42.149,-78.901,NSMN
Raquette_Lake,New York State Mesonet,43.823,-74.625,NSMN
Red_Hook,New York State Mesonet,42.002,-73.884,NSMN
Redfield,New York State Mesonet,43.622,-75.878,NSMN
Roxbury,New York State Mesonet,42.33,-74.467,NSMN
Rush,New York State Mesonet,43.001,-77.637,NSMN
Saranac,New York State Mesonet,44.708,-73.671,NSMN
Schaghticoke,New York State Mesonet,42.897,-73.614,NSMN
Schodack,New York State Mesonet,42.506,-73.686,NSMN
Schuylerville,New York State Mesonet,43.117,-73.578,NSMN
Scipio_Center,New York State Mesonet,42.756,-76.534,NSMN
Sherburne,New York State Mesonet,42.64,-75.483,NSMN
Somers,New York State Mesonet,41.31,-73.767,NSMN
South_Bristol,New York State Mesonet,42.752,-77.359,NSMN
Southold,New York State Mesonet,41.04,-72.466,NSMN
Sprakers,New York State Mesonet,42.87,-74.51,NSMN
Springfield,New York State Mesonet,42.843,-74.89,NSMN
Staten_Island,New York State Mesonet,40.604,-74.148,NSMN
Stephentown,New York State Mesonet,42.526,-73.359,NSMN
Stony_Brook,New York State Mesonet,40.919,-73.132,NSMN
Suffern,New York State Mesonet,41.13,-74.09,NSMN
Tannersville,New York State Mesonet,42.171,-74.113,NSMN
Ticonderoga,New York State Mesonet,43.875,-73.419,NSMN
Tully,New York State Mesonet,42.795,-76.116,NSMN
Tupper_Lake,New York State Mesonet,44.221,-74.438,NSMN
Tyrone,New York State Mesonet,42.406,-77.054,NSMN
Voorheesville,New York State Mesonet,42.652,-73.976,NSMN
Wallkill,New York State Mesonet,41.634,-74.154,NSMN
Walton,New York State Mesonet,42.24,-75.179,NSMN
Wantagh,New York State Mesonet,40.655,-73.506,NSMN
Warsaw,New York State Mesonet,42.78,-78.209,NSMN
Warwick,New York State Mesonet,41.24,-74.391,NSMN
Waterloo,New York State Mesonet,42.88,-76.813,NSMN
Wellesley_Island,New York State Mesonet,44.308,-76.009,NSMN
Westmoreland,New York State Mesonet,43.106,-75.461,NSMN
Whiteface_Mountain_Base,New York State Mesonet,44.393,-73.859,NSMN
Whitehall,New York State Mesonet,43.485,-73.423,NSMN
Wolcott,New York State Mesonet,43.229,-76.843,NSMN
Woodbourne,New York State Mesonet,41.745,-74.588,NSMN
Woodgate,New York State Mesonet,43.532,-75.159,NSMN
York,New York State Mesonet,42.855,-77.848,NSMN
Alta,NOAA HMT,39.2,-120.82,NSMN
Arnold,NOAA HMT,38.24,-120.36,NSMN
Black_Butte_Lake,NOAA HMT,39.81,-122.37,NSMN
Boulder,NOAA HMT,39.99,-105.26,NSMN
Bridgeville,NOAA HMT,40.47,-123.79,NSMN
Camino,NOAA HMT,38.74,-120.66,NSMN
Cazadero,NOAA HMT,38.61,-123.22,NSMN
Clayton,NOAA HMT,37.9,-121.86,NSMN
Colfax,NOAA HMT,39.09,-120.95,NSMN
Gilroy,NOAA HMT,37.07,-121.48,NSMN
Healdsburg,NOAA HMT,38.65,-122.87,NSMN
Healdsburg_Northeast,NOAA HMT,38.65,-122.81,NSMN
Healdsburg_South,NOAA HMT,38.59,-122.87,NSMN
High_Vista,NOAA HMT,34.76,-117.8,NSMN
Hodgdon_Meadow,NOAA HMT,37.8,-119.86,NSMN
Hopland,NOAA HMT,39,-123.12,NSMN
Independence,NOAA HMT,36.8,-118.2,NSMN
Lake_Sonoma,NOAA HMT,38.72,-123.05,NSMN
Leesville,NOAA HMT,39.18,-122.44,NSMN
Leggett,NOAA HMT,39.88,-123.72,NSMN
Lockwood,NOAA HMT,35.94,-121.11,NSMN
Los_Gatos,NOAA HMT,37.26,-122.13,NSMN
Middletown,NOAA HMT,38.75,-122.71,NSMN
Montgomery_Creek,NOAA HMT,40.87,-121.89,NSMN
Nevada_City,NOAA HMT,39.39,-120.98,NSMN
O'Neals,NOAA HMT,37.2,-119.57,NSMN
Orick,NOAA HMT,41.22,-124.05,NSMN
Paynes_Creek,NOAA HMT,40.33,-121.92,NSMN
Potter_Valley,NOAA HMT,39.34,-123.14,NSMN
Potter_Valley_-_Central,NOAA HMT,39.32,-123.1,NSMN
Potter_Valley_-_West,NOAA HMT,39.32,-123.18,NSMN
Redwood_Valley_-_East,NOAA HMT,39.31,-123.19,NSMN
Rio_Nido,NOAA HMT,38.51,-122.96,NSMN
Santa_Margarita,NOAA HMT,35.38,-120.19,NSMN
Santa_Rosa,NOAA HMT,38.52,-122.8,NSMN
SantaLucia_(P171),NOAA HMT,36.49,-121.79,NSMN
Soledad,NOAA HMT,36.46,-121.38,NSMN
Spanish_Flat,NOAA HMT,38.54,-122.23,NSMN
Springville,NOAA HMT,36.19,-118.8,NSMN
Weaverville,NOAA HMT,40.68,-122.83,NSMN
Willits,NOAA HMT,39.35,-123.32,NSMN
Yucaipa Valley,NOAA HMT,34.0074,-117.0915,NSMN
Pamlico_Aquaculture_Field_Lab,North Carolina ECONET,35.362,-76.716,NSMN
Bald_Head_Island_Conservancy,North Carolina ECONET,33.846,-77.966,NSMN
Boone_-_ASU_Stn,North Carolina ECONET,36.221,-81.63,NSMN
Buckland_Elementary,North Carolina ECONET,36.47,-76.761,NSMN
Burnsville_Tower,North Carolina ECONET,35.919,-82.26,NSMN
Horticultural_Crops_Res_Stn,North Carolina ECONET,34.321,-77.916,NSMN
